time,open,high,low,close,volume
1748955600000,111.83,113.23,110.93,112.13,1250
1748959200000,110.77,112.17,109.87,111.07,1275
1748962800000,109.63,111.03,108.73,109.93,1300
1748966400000,108.43,109.83,107.53,108.73,1325
1748970000000,107.19,108.59,106.29,107.49,1350
1748973600000,105.93,107.33,105.03,106.23,1375
1748977200000,104.67,106.07,103.77,104.97,1400
1748980800000,103.41,104.81,102.51,103.71,1000
1748984400000,102.19,103.59,101.29,102.49,1025
1748988000000,101.01,102.41,100.11,101.31,1050
1748991600000,99.9,101.3,99,100.2,1075
1748995200000,98.87,100.27,97.97,99.17,1100
1748998800000,97.93,99.33,97.03,98.23,1125
1749002400000,97.1,98.5,96.2,97.4,1150
1749006000000,96.38,97.78,95.48,96.68,1175
1749009600000,95.77,97.17,94.87,96.07,1200
1749013200000,95.3,96.7,94.4,95.6,1225
1749016800000,94.95,96.35,94.05,95.25,1250
1749020400000,94.72,96.12,93.82,95.02,1275
1749024000000,94.62,96.02,93.72,94.92,1300
1749027600000,94.64,96.04,93.74,94.94,1325
1749031200000,94.76,96.16,93.86,95.06,1350
1749034800000,94.99,96.39,94.09,95.29,1375
1749038400000,95.31,96.71,94.41,95.61,1400
1749042000000,95.7,97.1,94.8,96,1000
1749045600000,96.15,97.55,95.25,96.45,1025
1749049200000,96.65,98.05,95.75,96.95,1050
1749052800000,97.18,98.58,96.28,97.48,1075
1749056400000,97.72,99.12,96.82,98.02,1100
1749060000000,98.25,99.65,97.35,98.55,1125
1749063600000,98.77,100.17,97.87,99.07,1150
1749067200000,99.25,100.65,98.35,99.55,1175
1749070800000,99.67,101.07,98.77,99.97,1200
1749074400000,100.04,101.44,99.14,100.34,1225
1749078000000,100.33,101.73,99.43,100.63,1250
1749081600000,100.53,101.93,99.63,100.83,1275
1749085200000,100.64,102.04,99.74,100.94,1300
1749088800000,100.65,102.05,99.75,100.95,1325
1749092400000,100.55,101.95,99.65,100.85,1350
1749096000000,100.36,101.76,99.46,100.66,1375
1749099600000,100.06,101.46,99.16,100.36,1400
1749103200000,99.66,101.06,98.76,99.96,1000
1749106800000,99.18,100.58,98.28,99.48,1025
1749110400000,98.61,100.01,97.71,98.91,1050
1749114000000,97.97,99.37,97.07,98.27,1075
1749117600000,97.27,98.67,96.37,97.57,1100
1749121200000,96.53,97.93,95.63,96.83,1125
1749124800000,95.76,97.16,94.86,96.06,1150
1749128400000,94.97,96.37,94.07,95.27,1175
1749132000000,94.19,95.59,93.29,94.49,1200
1749135600000,93.43,94.83,92.53,93.73,1225
1749139200000,92.71,94.11,91.81,93.01,1250
1749142800000,92.04,93.44,91.14,92.34,1275
1749146400000,91.45,92.85,90.55,91.75,1300
1749150000000,90.94,92.34,90.04,91.24,1325
1749153600000,90.54,91.94,89.64,90.84,1350
1749157200000,90.24,91.64,89.34,90.54,1375
1749160800000,90.07,91.47,89.17,90.37,1400
1749164400000,90.03,91.43,89.13,90.33,1000
1749168000000,90.13,91.53,89.23,90.43,1025
1749171600000,90.36,91.76,89.46,90.66,1050
1749175200000,90.74,92.14,89.84,91.04,1075
1749178800000,91.25,92.65,90.35,91.55,1100
1749182400000,91.9,93.3,91,92.2,1125
1749186000000,92.67,94.07,91.77,92.97,1150
1749189600000,93.57,94.97,92.67,93.87,1175
1749193200000,94.56,95.96,93.66,94.86,1200
1749196800000,95.66,97.06,94.76,95.96,1225
1749200400000,96.83,98.23,95.93,97.13,1250
1749204000000,98.06,99.46,97.16,98.36,1275
1749207600000,99.34,100.74,98.44,99.64,1300
1749211200000,100.65,102.05,99.75,100.95,1325
1749214800000,101.97,103.37,101.07,102.27,1350
1749218400000,103.28,104.68,102.38,103.58,1375
1749222000000,104.56,105.96,103.66,104.86,1400
1749225600000,105.8,107.2,104.9,106.1,1000
1749229200000,106.99,108.39,106.09,107.29,1025
1749232800000,108.09,109.49,107.19,108.39,1050
1749236400000,109.11,110.51,108.21,109.41,1075
1749240000000,110.03,111.43,109.13,110.33,1100
1749243600000,110.85,112.25,109.95,111.15,1125
1749247200000,111.55,112.95,110.65,111.85,1150
1749250800000,112.13,113.53,111.23,112.43,1175
1749254400000,112.59,113.99,111.69,112.89,1200
1749258000000,112.93,114.33,112.03,113.23,1225
1749261600000,113.15,114.55,112.25,113.45,1250
1749265200000,113.26,114.66,112.36,113.56,1275
1749268800000,113.26,114.66,112.36,113.56,1300
1749272400000,113.17,114.57,112.27,113.47,1325
1749276000000,113,114.4,112.1,113.3,1350
1749279600000,112.76,114.16,111.86,113.06,1375
1749283200000,112.46,113.86,111.56,112.76,1400
1749286800000,112.12,113.52,111.22,112.42,1000
1749290400000,111.76,113.16,110.86,112.06,1025
1749294000000,111.39,112.79,110.49,111.69,1050
1749297600000,111.03,112.43,110.13,111.33,1075
1749301200000,110.69,112.09,109.79,110.99,1100
1749304800000,110.4,111.8,109.5,110.7,1125
1749308400000,110.16,111.56,109.26,110.46,1150
1749312000000,109.99,111.39,109.09,110.29,1175
1749315600000,109.9,111.3,109,110.2,1200
1749319200000,109.9,111.3,109,110.2,1225
1749322800000,110,111.4,109.1,110.3,1250
1749326400000,110.2,111.6,109.3,110.5,1275
1749330000000,110.5,111.9,109.6,110.8,1300
1749333600000,110.91,112.31,110.01,111.21,1325
1749337200000,111.43,112.83,110.53,111.73,1350
1749340800000,112.05,113.45,111.15,112.35,1375
1749344400000,112.75,114.15,111.85,113.05,1400
1749348000000,113.55,114.95,112.65,113.85,1000
1749351600000,114.41,115.81,113.51,114.71,1025
1749355200000,115.34,116.74,114.44,115.64,1050
1749358800000,116.31,117.71,115.41,116.61,1075
1749362400000,117.31,118.71,116.41,117.61,1100
1749366000000,118.33,119.73,117.43,118.63,1125
1749369600000,119.34,120.74,118.44,119.64,1150
1749373200000,120.33,121.73,119.43,120.63,1175
1749376800000,121.28,122.68,120.38,121.58,1200
1749380400000,122.17,123.57,121.27,122.47,1225
1749384000000,122.99,124.39,122.09,123.29,1250
1749387600000,123.72,125.12,122.82,124.02,1275
1749391200000,124.36,125.76,123.46,124.66,1300
1749394800000,124.87,126.27,123.97,125.17,1325
1749398400000,125.27,126.67,124.37,125.57,1350
1749402000000,125.53,126.93,124.63,125.83,1375
1749405600000,125.65,127.05,124.75,125.95,1400
1749409200000,125.63,127.03,124.73,125.93,1000
1749412800000,125.47,126.87,124.57,125.77,1025
1749416400000,125.17,126.57,124.27,125.47,1050
1749420000000,124.73,126.13,123.83,125.03,1075
1749423600000,124.16,125.56,123.26,124.46,1100
1749427200000,123.48,124.88,122.58,123.78,1125
1749430800000,122.68,124.08,121.78,122.98,1150
1749434400000,121.78,123.18,120.88,122.08,1175
1749438000000,120.81,122.21,119.91,121.11,1200
1749441600000,119.76,121.16,118.86,120.06,1225
1749445200000,118.67,120.07,117.77,118.97,1250
1749448800000,117.54,118.94,116.64,117.84,1275
1749452400000,116.41,117.81,115.51,116.71,1300
1749456000000,115.27,116.67,114.37,115.57,1325
1749459600000,114.16,115.56,113.26,114.46,1350
1749463200000,113.09,114.49,112.19,113.39,1375
1749466800000,112.07,113.47,111.17,112.37,1400
1749470400000,111.12,112.52,110.22,111.42,1000
1749474000000,110.25,111.65,109.35,110.55,1025
1749477600000,109.48,110.88,108.58,109.78,1050
1749481200000,108.81,110.21,107.91,109.11,1075
1749484800000,108.24,109.64,107.34,108.54,1100
1749488400000,107.8,109.2,106.9,108.1,1125
1749492000000,107.46,108.86,106.56,107.76,1150
1749495600000,107.24,108.64,106.34,107.54,1175
1749499200000,107.14,108.54,106.24,107.44,1200
1749502800000,107.14,108.54,106.24,107.44,1225
1749506400000,107.24,108.64,106.34,107.54,1250
1749510000000,107.42,108.82,106.52,107.72,1275
1749513600000,107.69,109.09,106.79,107.99,1300
1749517200000,108.02,109.42,107.12,108.32,1325
1749520800000,108.39,109.79,107.49,108.69,1350
1749524400000,108.81,110.21,107.91,109.11,1375
1749528000000,109.24,110.64,108.34,109.54,1400
1749531600000,109.67,111.07,108.77,109.97,1000
1749535200000,110.08,111.48,109.18,110.38,1025
1749538800000,110.47,111.87,109.57,110.77,1050
1749542400000,110.81,112.21,109.91,111.11,1075
1749546000000,111.08,112.48,110.18,111.38,1100
1749549600000,111.29,112.69,110.39,111.59,1125
1749553200000,111.41,112.81,110.51,111.71,1150
1749556800000,111.43,112.83,110.53,111.73,1175
1749560400000,111.35,112.75,110.45,111.65,1200
1749564000000,111.17,112.57,110.27,111.47,1225
1749567600000,110.87,112.27,109.97,111.17,1250
1749571200000,110.46,111.86,109.56,110.76,1275
1749574800000,109.95,111.35,109.05,110.25,1300
1749578400000,109.33,110.73,108.43,109.63,1325
1749582000000,108.62,110.02,107.72,108.92,1350
1749585600000,107.82,109.22,106.92,108.12,1375
1749589200000,106.94,108.34,106.04,107.24,1400
1749592800000,106,107.4,105.1,106.3,1000
1749596400000,105.02,106.42,104.12,105.32,1025
1749600000000,104,105.4,103.1,104.3,1050
1749603600000,102.96,104.36,102.06,103.26,1075
1749607200000,101.93,103.33,101.03,102.23,1100
1749610800000,100.92,102.32,100.02,101.22,1125
1749614400000,99.94,101.34,99.04,100.24,1150
1749618000000,99.02,100.42,98.12,99.32,1175
1749621600000,98.18,99.58,97.28,98.48,1200
1749625200000,97.42,98.82,96.52,97.72,1225
1749628800000,96.76,98.16,95.86,97.06,1250
1749632400000,96.21,97.61,95.31,96.51,1275
1749636000000,95.79,97.19,94.89,96.09,1300
1749639600000,95.51,96.91,94.61,95.81,1325
1749643200000,95.36,96.76,94.46,95.66,1350
1749646800000,95.35,96.75,94.45,95.65,1375
1749650400000,95.49,96.89,94.59,95.79,1400
1749654000000,95.76,97.16,94.86,96.06,1000
1749657600000,96.18,97.58,95.28,96.48,1025
1749661200000,96.73,98.13,95.83,97.03,1050
1749664800000,97.39,98.79,96.49,97.69,1075
1749668400000,98.17,99.57,97.27,98.47,1100
1749672000000,99.05,100.45,98.15,99.35,1125
1749675600000,100.02,101.42,99.12,100.32,1150
1749679200000,101.05,102.45,100.15,101.35,1175
1749682800000,102.13,103.53,101.23,102.43,1200
1749686400000,103.25,104.65,102.35,103.55,1225
1749690000000,104.38,105.78,103.48,104.68,1250
1749693600000,105.52,106.92,104.62,105.82,1275
1749697200000,106.63,108.03,105.73,106.93,1300
1749700800000,107.71,109.11,106.81,108.01,1325
1749704400000,108.74,110.14,107.84,109.04,1350
1749708000000,109.7,111.1,108.8,110,1375
1749711600000,110.58,111.98,109.68,110.88,1400
1749715200000,111.38,112.78,110.48,111.68,1000
1749718800000,112.07,113.47,111.17,112.37,1025
1749722400000,112.67,114.07,111.77,112.97,1050
1749726000000,113.15,114.55,112.25,113.45,1075
1749729600000,113.52,114.92,112.62,113.82,1100
1749733200000,113.79,115.19,112.89,114.09,1125
1749736800000,113.94,115.34,113.04,114.24,1150
1749740400000,114,115.4,113.1,114.3,1175
1749744000000,113.96,115.36,113.06,114.26,1200
1749747600000,113.84,115.24,112.94,114.14,1225
1749751200000,113.65,115.05,112.75,113.95,1250
1749754800000,113.4,114.8,112.5,113.7,1275
1749758400000,113.11,114.51,112.21,113.41,1300
1749762000000,112.79,114.19,111.89,113.09,1325
1749765600000,112.46,113.86,111.56,112.76,1350
1749769200000,112.13,113.53,111.23,112.43,1375
1749772800000,111.82,113.22,110.92,112.12,1400
1749776400000,111.55,112.95,110.65,111.85,1000
1749780000000,111.34,112.74,110.44,111.64,1025
1749783600000,111.19,112.59,110.29,111.49,1050
1749787200000,111.12,112.52,110.22,111.42,1075
1749790800000,111.14,112.54,110.24,111.44,1100
1749794400000,111.26,112.66,110.36,111.56,1125
1749798000000,111.49,112.89,110.59,111.79,1150
1749801600000,111.83,113.23,110.93,112.13,1175
1749805200000,112.29,113.69,111.39,112.59,1200
1749808800000,112.86,114.26,111.96,113.16,1225
1749812400000,113.54,114.94,112.64,113.84,1250
1749816000000,114.34,115.74,113.44,114.64,1275
1749819600000,115.23,116.63,114.33,115.53,1300
1749823200000,116.22,117.62,115.32,116.52,1325
1749826800000,117.28,118.68,116.38,117.58,1350
1749830400000,118.41,119.81,117.51,118.71,1375
1749834000000,119.59,120.99,118.69,119.89,1400
1749837600000,120.81,122.21,119.91,121.11,1000
1749841200000,122.05,123.45,121.15,122.35,1025
1749844800000,123.29,124.69,122.39,123.59,1050
1749848400000,124.51,125.91,123.61,124.81,1075
1749852000000,125.69,127.09,124.79,125.99,1100
1749855600000,126.82,128.22,125.92,127.12,1125
1749859200000,127.88,129.28,126.98,128.18,1150
1749862800000,128.86,130.26,127.96,129.16,1175
1749866400000,129.74,131.14,128.84,130.04,1200
1749870000000,130.5,131.9,129.6,130.8,1225
1749873600000,131.14,132.54,130.24,131.44,1250
1749877200000,131.65,133.05,130.75,131.95,1275
1749880800000,132.03,133.43,131.13,132.33,1300
1749884400000,132.26,133.66,131.36,132.56,1325
1749888000000,132.35,133.75,131.45,132.65,1350
1749891600000,132.3,133.7,131.4,132.6,1375
1749895200000,132.11,133.51,131.21,132.41,1400
1749898800000,131.79,133.19,130.89,132.09,1000
1749902400000,131.35,132.75,130.45,131.65,1025
1749906000000,130.79,132.19,129.89,131.09,1050
1749909600000,130.14,131.54,129.24,130.44,1075
1749913200000,129.4,130.8,128.5,129.7,1100
1749916800000,128.6,130,127.7,128.9,1125
1749920400000,127.74,129.14,126.84,128.04,1150
1749924000000,126.84,128.24,125.94,127.14,1175
1749927600000,125.93,127.33,125.03,126.23,1200
1749931200000,125.02,126.42,124.12,125.32,1225
1749934800000,124.12,125.52,123.22,124.42,1250
1749938400000,123.26,124.66,122.36,123.56,1275
1749942000000,122.44,123.84,121.54,122.74,1300
1749945600000,121.69,123.09,120.79,121.99,1325
1749949200000,121.01,122.41,120.11,121.31,1350
1749952800000,120.42,121.82,119.52,120.72,1375
1749956400000,119.93,121.33,119.03,120.23,1400
1749960000000,119.53,120.93,118.63,119.83,1000
1749963600000,119.24,120.64,118.34,119.54,1025
1749967200000,119.06,120.46,118.16,119.36,1050
1749970800000,118.98,120.38,118.08,119.28,1075
1749974400000,119,120.4,118.1,119.3,1100
1749978000000,119.12,120.52,118.22,119.42,1125
1749981600000,119.33,120.73,118.43,119.63,1150
1749985200000,119.61,121.01,118.71,119.91,1175
1749988800000,119.96,121.36,119.06,120.26,1200
1749992400000,120.37,121.77,119.47,120.67,1225
1749996000000,120.81,122.21,119.91,121.11,1250
1749999600000,121.27,122.67,120.37,121.57,1275
1750003200000,121.74,123.14,120.84,122.04,1300
1750006800000,122.2,123.6,121.3,122.5,1325
1750010400000,122.63,124.03,121.73,122.93,1350
1750014000000,123.02,124.42,122.12,123.32,1375
1750017600000,123.35,124.75,122.45,123.65,1400
1750021200000,123.61,125.01,122.71,123.91,1000
1750024800000,123.78,125.18,122.88,124.08,1025
1750028400000,123.85,125.25,122.95,124.15,1050
1750032000000,123.82,125.22,122.92,124.12,1075
1750035600000,123.68,125.08,122.78,123.98,1100
1750039200000,123.41,124.81,122.51,123.71,1125
1750042800000,123.03,124.43,122.13,123.33,1150
1750046400000,122.52,123.92,121.62,122.82,1175
1750050000000,121.9,123.3,121,122.2,1200
1750053600000,121.16,122.56,120.26,121.46,1225
1750057200000,120.32,121.72,119.42,120.62,1250
1750060800000,119.38,120.78,118.48,119.68,1275
1750064400000,118.36,119.76,117.46,118.66,1300
1750068000000,117.27,118.67,116.37,117.57,1325
1750071600000,116.12,117.52,115.22,116.42,1350
1750075200000,114.92,116.32,114.02,115.22,1375
1750078800000,113.71,115.11,112.81,114.01,1400
1750082400000,112.49,113.89,111.59,112.79,1000
1750086000000,111.29,112.69,110.39,111.59,1025
1750089600000,110.12,111.52,109.22,110.42,1050
1750093200000,108.99,110.39,108.09,109.29,1075
1750096800000,107.94,109.34,107.04,108.24,1100
1750100400000,106.96,108.36,106.06,107.26,1125
1750104000000,106.09,107.49,105.19,106.39,1150
1750107600000,105.32,106.72,104.42,105.62,1175
1750111200000,104.67,106.07,103.77,104.97,1200
1750114800000,104.15,105.55,103.25,104.45,1225
1750118400000,103.76,105.16,102.86,104.06,1250
1750122000000,103.51,104.91,102.61,103.81,1275
1750125600000,103.41,104.81,102.51,103.71,1300
1750129200000,103.44,104.84,102.54,103.74,1325
1750132800000,103.61,105.01,102.71,103.91,1350
1750136400000,103.9,105.3,103,104.2,1375
1750140000000,104.32,105.72,103.42,104.62,1400
1750143600000,104.85,106.25,103.95,105.15,1000
1750147200000,105.47,106.87,104.57,105.77,1025
1750150800000,106.18,107.58,105.28,106.48,1050
1750154400000,106.96,108.36,106.06,107.26,1075
1750158000000,107.79,109.19,106.89,108.09,1100
1750161600000,108.66,110.06,107.76,108.96,1125
1750165200000,109.54,110.94,108.64,109.84,1150
1750168800000,110.43,111.83,109.53,110.73,1175
1750172400000,111.29,112.69,110.39,111.59,1200
